"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 04 01:50:01 GMT 2024","Fri Oct 04 01:50:05 GMT 2024","4893","tests.Heder_links","test_video","","","","test_header_link[chromium]",""
"skipped","Fri Oct 04 01:56:45 GMT 2024","Fri Oct 04 01:56:45 GMT 2024","0","tests","test_create_order","","","","test_create_order[chromium]",""
"skipped","Fri Oct 04 01:55:33 GMT 2024","Fri Oct 04 01:55:33 GMT 2024","0","tests","test_cart","","","","Отмена промокода",""
"passed","Fri Oct 04 01:49:45 GMT 2024","Fri Oct 04 01:49:50 GMT 2024","4468","tests.Heder_links","test_krug","","","","test_header_link[chromium]",""
"passed","Fri Oct 04 01:49:28 GMT 2024","Fri Oct 04 01:49:33 GMT 2024","4486","tests.Heder_links","test_contacts","","","","test_header_link[chromium]",""
"skipped","Fri Oct 04 01:55:33 GMT 2024","Fri Oct 04 01:55:33 GMT 2024","0","tests","test_cart","","","","Раскрытие блока 'Промокод'",""
"skipped","Fri Oct 04 01:55:33 GMT 2024","Fri Oct 04 01:55:33 GMT 2024","0","tests","test_cart","","","","Применение валидного промокода",""
"skipped","Fri Oct 04 01:50:37 GMT 2024","Fri Oct 04 01:50:37 GMT 2024","0","tests","test_autorization","","","","Авторизуюсь через testmail.app",""
"passed","Fri Oct 04 01:54:32 GMT 2024","Fri Oct 04 01:54:54 GMT 2024","21291","tests","test_cart","","","","Переход с пустой корзины 'На главную'",""
"passed","Fri Oct 04 01:56:36 GMT 2024","Fri Oct 04 01:56:45 GMT 2024","9774","tests","test_cart_test_fir_test_IT","","","","Открытие модального окна авторизации",""
"passed","Fri Oct 04 01:51:24 GMT 2024","Fri Oct 04 01:51:44 GMT 2024","20291","tests","test_cart","","","","Выделение части товара",""
"passed","Fri Oct 04 01:51:07 GMT 2024","Fri Oct 04 01:51:24 GMT 2024","17505","tests","test_cart","","","","Выделение всего товара",""
"passed","Fri Oct 04 01:49:33 GMT 2024","Fri Oct 04 01:49:37 GMT 2024","4461","tests.Heder_links","test_dostavka-oplata","","","","test_header_link2[chromium]",""
"skipped","Fri Oct 04 01:55:33 GMT 2024","Fri Oct 04 01:55:33 GMT 2024","0","tests","test_cart","","","","Закрытие блока изменения информации",""
"passed","Fri Oct 04 01:53:43 GMT 2024","Fri Oct 04 01:53:53 GMT 2024","10241","tests","test_cart","","","","Изменение цены в блоке калькуляции по части позиций (Счетчик)",""
"skipped","Fri Oct 04 01:55:33 GMT 2024","Fri Oct 04 01:55:33 GMT 2024","0","tests","test_cart","","","","Активация подсказки",""
"passed","Fri Oct 04 01:53:53 GMT 2024","Fri Oct 04 01:54:13 GMT 2024","19633","tests","test_cart","","","","Удаление всего товара (Корзина)",""
"passed","Fri Oct 04 01:50:06 GMT 2024","Fri Oct 04 01:50:10 GMT 2024","4424","tests.Heder_links","test_warranty","","","","test_header_link[chromium]",""
"skipped","Fri Oct 04 01:55:33 GMT 2024","Fri Oct 04 01:55:33 GMT 2024","0","tests","test_cart","","","","Удаление товара нажатием на крестик (Окно изменения цены)",""
"passed","Fri Oct 04 01:55:33 GMT 2024","Fri Oct 04 01:55:53 GMT 2024","19895","tests","test_cart","","","","Активация блока 'Недоступно для заказа'",""
"passed","Fri Oct 04 01:50:30 GMT 2024","Fri Oct 04 01:50:37 GMT 2024","6676","tests","test_add_to_cart","","","","Добавление товара из поиска",""
"skipped","Fri Oct 04 01:55:33 GMT 2024","Fri Oct 04 01:55:33 GMT 2024","0","tests","test_cart","","","","Активация окна изменения цены",""
"passed","Fri Oct 04 01:50:37 GMT 2024","Fri Oct 04 01:50:46 GMT 2024","9038","tests","test_cart","","","","Открытие модального окна авторизации",""
"passed","Fri Oct 04 01:53:33 GMT 2024","Fri Oct 04 01:53:43 GMT 2024","10341","tests","test_cart","","","","Изменение количества товара через счетчик",""
"passed","Fri Oct 04 01:52:45 GMT 2024","Fri Oct 04 01:53:02 GMT 2024","16851","tests","test_cart","","","","Изменение цены в блоке калькуляции по всем позициям",""
"passed","Fri Oct 04 01:55:53 GMT 2024","Fri Oct 04 01:56:14 GMT 2024","21025","tests","test_cart","","","","Удаление товара нажатием на крестик (Блок 'Недоступно для заказа')",""
"skipped","Fri Oct 04 01:55:33 GMT 2024","Fri Oct 04 01:55:33 GMT 2024","0","tests","test_cart","","","","Вернутся в корзину через нажатие на пространство вне окна",""
"passed","Fri Oct 04 01:52:04 GMT 2024","Fri Oct 04 01:52:27 GMT 2024","22453","tests","test_cart","","","","Удаление товара нажатием на кнопку 'Удалить'",""
"passed","Fri Oct 04 01:49:23 GMT 2024","Fri Oct 04 01:49:28 GMT 2024","5258","tests.Heder_links","test_brands","","","","test_header_link[chromium]",""
"passed","Fri Oct 04 01:53:23 GMT 2024","Fri Oct 04 01:53:33 GMT 2024","10057","tests","test_cart","","","","Отправка на печать",""
"passed","Fri Oct 04 01:56:14 GMT 2024","Fri Oct 04 01:56:36 GMT 2024","21549","tests","test_cart","","","","Удаление всего товара в блоке (Блок 'Недоступно для заказа')",""
"passed","Fri Oct 04 01:50:22 GMT 2024","Fri Oct 04 01:50:30 GMT 2024","8425","tests","test_add_to_cart","","","","Добавление товара из корзины",""
"passed","Fri Oct 04 01:55:13 GMT 2024","Fri Oct 04 01:55:33 GMT 2024","19379","tests","test_cart","","","","Если товар не выбран кнопка 'Оформить заказ' не активна",""
"skipped","Fri Oct 04 01:55:33 GMT 2024","Fri Oct 04 01:55:33 GMT 2024","0","tests","test_cart","","","","Очистка поля 'Промокод'",""
"passed","Fri Oct 04 01:49:41 GMT 2024","Fri Oct 04 01:49:45 GMT 2024","3863","tests.Heder_links","test_how-to-order","","","","test_header_link[chromium]",""
"passed","Fri Oct 04 01:49:38 GMT 2024","Fri Oct 04 01:49:41 GMT 2024","3871","tests.Heder_links","test_home","","","","Переход на домашнюю страницу",""
"passed","Fri Oct 04 01:53:02 GMT 2024","Fri Oct 04 01:53:22 GMT 2024","20311","tests","test_cart","","","","Изменение цены в блоке калькуляции по части позиций (Чек-бокс)",""
"passed","Fri Oct 04 01:51:45 GMT 2024","Fri Oct 04 01:52:04 GMT 2024","19873","tests","test_cart","","","","Число рядом с кнопкой удалить",""
"passed","Fri Oct 04 01:49:50 GMT 2024","Fri Oct 04 01:49:55 GMT 2024","5256","tests.Heder_links","test_news","","","","test_header_link[chromium]",""
"passed","Fri Oct 04 01:52:27 GMT 2024","Fri Oct 04 01:52:45 GMT 2024","18156","tests","test_cart","","","","Удаление товара нажатием на крестик (Корзина)",""
"skipped","Fri Oct 04 01:55:33 GMT 2024","Fri Oct 04 01:55:33 GMT 2024","0","tests","test_cart","","","","Применение валидного промокода к неподходящему товару",""
"passed","Fri Oct 04 01:50:10 GMT 2024","Fri Oct 04 01:50:22 GMT 2024","11521","tests","test_add_to_cart","","","","Добавление товара из листинга",""
"skipped","Fri Oct 04 01:55:33 GMT 2024","Fri Oct 04 01:55:33 GMT 2024","0","tests","test_cart","","","","Применение невалидного промокода",""
"passed","Fri Oct 04 01:49:16 GMT 2024","Fri Oct 04 01:49:23 GMT 2024","6819","tests.Heder_links","test_blogs","","","","test_header_link[chromium]",""
"passed","Fri Oct 04 01:49:55 GMT 2024","Fri Oct 04 01:50:00 GMT 2024","5211","tests.Heder_links","test_promos","","","","test_header_link[chromium]",""
"passed","Fri Oct 04 01:54:54 GMT 2024","Fri Oct 04 01:55:13 GMT 2024","19630","tests","test_cart","","","","Активация окна авторизации в пустой корзине",""
"skipped","Fri Oct 04 01:55:33 GMT 2024","Fri Oct 04 01:55:33 GMT 2024","0","tests","test_cart","","","","Вернутся в корзину через кнопку 'Вернутся в корзину'",""
"passed","Fri Oct 04 01:54:13 GMT 2024","Fri Oct 04 01:54:32 GMT 2024","19250","tests","test_cart","","","","Отмена удаления товара",""
"passed","Fri Oct 04 01:50:46 GMT 2024","Fri Oct 04 01:51:07 GMT 2024","20644","tests","test_cart","","","","Переход в чек-аут",""
