"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6632","test_header_link[chromium]","tests.Heder_links","Sun Nov 17 12:45:16 GMT 2024","passed","Sun Nov 17 12:45:23 GMT 2024","","test_warranty","",""
"","4270","test_header_link[chromium]","tests.Heder_links","Sun Nov 17 12:44:51 GMT 2024","passed","Sun Nov 17 12:44:55 GMT 2024","","test_krug","",""
"","17682","Изменение цены в блоке калькуляции по всем позициям","tests","Sun Nov 17 12:48:08 GMT 2024","passed","Sun Nov 17 12:48:26 GMT 2024","","test_cart","",""
"","33919","Вернутся в корзину через кнопку 'Вернутся в корзину'","tests","Sun Nov 17 12:52:24 GMT 2024","passed","Sun Nov 17 12:52:58 GMT 2024","","test_cart","",""
"","3646","Переход на домашнюю страницу","tests.Heder_links","Sun Nov 17 12:44:43 GMT 2024","passed","Sun Nov 17 12:44:46 GMT 2024","","test_home","",""
"","19771","Отмена удаления товара","tests","Sun Nov 17 12:49:36 GMT 2024","passed","Sun Nov 17 12:49:56 GMT 2024","","test_cart","",""
"","29340","Переход в чек-аут","tests","Sun Nov 17 12:45:57 GMT 2024","passed","Sun Nov 17 12:46:27 GMT 2024","","test_cart","",""
"","4967","test_header_link2[chromium]","tests.Heder_links","Sun Nov 17 12:44:38 GMT 2024","passed","Sun Nov 17 12:44:43 GMT 2024","","test_dostavka-oplata","",""
"","7074","test_header_link[chromium]","tests.Heder_links","Sun Nov 17 12:44:30 GMT 2024","passed","Sun Nov 17 12:44:38 GMT 2024","","test_contacts","",""
"","23351","Удаление всего товара в блоке (Блок 'Недоступно для заказа')","tests","Sun Nov 17 12:54:10 GMT 2024","passed","Sun Nov 17 12:54:33 GMT 2024","","test_cart","",""
"","9892","Изменение цены в блоке калькуляции по части позиций (Счетчик)","tests","Sun Nov 17 12:49:08 GMT 2024","passed","Sun Nov 17 12:49:18 GMT 2024","","test_cart","",""
"","10002","Отправка на печать","tests","Sun Nov 17 12:48:48 GMT 2024","passed","Sun Nov 17 12:48:58 GMT 2024","","test_cart","",""
"","21292","Активация блока 'Недоступно для заказа'","tests","Sun Nov 17 12:53:27 GMT 2024","passed","Sun Nov 17 12:53:48 GMT 2024","","test_cart","",""
"","7387","test_header_link[chromium]","tests.Heder_links","Sun Nov 17 12:44:55 GMT 2024","passed","Sun Nov 17 12:45:02 GMT 2024","","test_news","",""
"","8513","Добавление товара из карточки товара","tests","Sun Nov 17 12:45:33 GMT 2024","passed","Sun Nov 17 12:45:41 GMT 2024","","test_add_to_cart","",""
"","28632","Вернутся в корзину через нажатие на пространство вне окна","tests","Sun Nov 17 12:52:58 GMT 2024","passed","Sun Nov 17 12:53:26 GMT 2024","","test_cart","",""
"","18571","Удаление всего товара (Корзина)","tests","Sun Nov 17 12:49:18 GMT 2024","passed","Sun Nov 17 12:49:36 GMT 2024","","test_cart","",""
"","6703","test_header_link[chromium]","tests.Heder_links","Sun Nov 17 12:45:09 GMT 2024","passed","Sun Nov 17 12:45:16 GMT 2024","","test_video","",""
"","17854","Выделение всего товара","tests","Sun Nov 17 12:46:27 GMT 2024","passed","Sun Nov 17 12:46:45 GMT 2024","","test_cart","",""
"","4160","test_header_link[chromium]","tests.Heder_links","Sun Nov 17 12:44:46 GMT 2024","passed","Sun Nov 17 12:44:51 GMT 2024","","test_how-to-order","",""
"","10329","Открытие модального окна авторизации","tests","Sun Nov 17 12:54:33 GMT 2024","passed","Sun Nov 17 12:54:44 GMT 2024","","test_cart_test_fir_test_IT","",""
"","18394","Если товар не выбран кнопка 'Оформить заказ' не активна","tests","Sun Nov 17 12:50:40 GMT 2024","passed","Sun Nov 17 12:50:59 GMT 2024","","test_cart","",""
"","4512","test_header_link[chromium]","tests.Heder_links","Sun Nov 17 12:44:26 GMT 2024","passed","Sun Nov 17 12:44:30 GMT 2024","","test_brands","",""
"","9700","Добавление товара из листинга","tests","Sun Nov 17 12:45:23 GMT 2024","passed","Sun Nov 17 12:45:33 GMT 2024","","test_add_to_cart","",""
"","20474","Число рядом с кнопкой удалить","tests","Sun Nov 17 12:47:04 GMT 2024","passed","Sun Nov 17 12:47:25 GMT 2024","","test_cart","",""
"","22239","Активация окна авторизации в пустой корзине","tests","Sun Nov 17 12:50:18 GMT 2024","passed","Sun Nov 17 12:50:40 GMT 2024","","test_cart","",""
"","0","test_create_order[chromium]","tests","Sun Nov 17 12:54:44 GMT 2024","skipped","Sun Nov 17 12:54:44 GMT 2024","","test_create_order","",""
"","0","Авторизуюсь через testmail.app","tests","Sun Nov 17 12:45:48 GMT 2024","skipped","Sun Nov 17 12:45:48 GMT 2024","","test_autorization","",""
"","7009","test_header_link[chromium]","tests.Heder_links","Sun Nov 17 12:45:02 GMT 2024","passed","Sun Nov 17 12:45:09 GMT 2024","","test_promos","",""
"","22224","Удаление товара нажатием на кнопку 'Удалить'","tests","Sun Nov 17 12:47:25 GMT 2024","passed","Sun Nov 17 12:47:47 GMT 2024","","test_cart","",""
