"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39221","Активация блока 'Недоступно для заказа'","tests","Wed Sep 04 16:06:52 MSK 2024","passed","Wed Sep 04 16:07:31 MSK 2024","","test_cart","",""
"","0","test_stage_login[chromium]","tests","Fri Aug 30 09:57:57 MSK 2024","skipped","Fri Aug 30 09:57:57 MSK 2024","","test_autorization","",""
"","22256","Изменение цены в блоке калькуляции по всем позициям","tests","Wed Sep 04 15:56:59 MSK 2024","passed","Wed Sep 04 15:57:22 MSK 2024","","test_cart","",""
"","5951","test_header_link[chromium]","tests.Heder_links","Wed Sep 04 15:48:55 MSK 2024","passed","Wed Sep 04 15:49:01 MSK 2024","","test_blogs","",""
"","20906","Изменение цены в блоке калькуляции по части позиций (Чек-бокс)","tests","Wed Sep 04 15:57:22 MSK 2024","passed","Wed Sep 04 15:57:43 MSK 2024","","test_cart","",""
"","4310","test_header_link[chromium]","tests.Heder_links","Wed Sep 04 15:49:28 MSK 2024","passed","Wed Sep 04 15:49:32 MSK 2024","","test_promos","",""
"","0","Авторизация через gmail","tests","Fri Aug 30 09:57:45 MSK 2024","skipped","Fri Aug 30 09:57:45 MSK 2024","","test_autorization","",""
"","13036","Отмена промокода","tests","Wed Sep 04 16:03:41 MSK 2024","passed","Wed Sep 04 16:03:54 MSK 2024","","test_cart","",""
"","3747","test_header_link2[chromium]","tests.Heder_links","Wed Sep 04 15:49:09 MSK 2024","passed","Wed Sep 04 15:49:13 MSK 2024","","test_dostavka-oplata","",""
"","39907","Отправка на печать","tests","Wed Sep 04 15:58:16 MSK 2024","passed","Wed Sep 04 15:58:55 MSK 2024","","test_cart","",""
"","4828","test_header_link[chromium]","tests.Heder_links","Wed Sep 04 15:49:23 MSK 2024","passed","Wed Sep 04 15:49:28 MSK 2024","","test_news","",""
"","34595","Удаление всего товара в блоке (Блок 'Недоступно для заказа')","tests","Wed Sep 04 16:08:01 MSK 2024","passed","Wed Sep 04 16:08:35 MSK 2024","","test_cart","",""
"","31015","Авторизация через mail.ru","tests","Wed Sep 04 15:52:35 MSK 2024","broken","Wed Sep 04 15:53:06 MSK 2024","","test_autorization","",""
"","38208","Изменение количества товара через счетчик","tests","Wed Sep 04 15:58:56 MSK 2024","passed","Wed Sep 04 15:59:34 MSK 2024","","test_cart","",""
"","39084","Добавление товара из листинга","tests","Wed Sep 04 15:50:38 MSK 2024","broken","Wed Sep 04 15:51:17 MSK 2024","","test_add_to_cart","",""
"","32257","test_header_link[chromium]","tests.Heder_links","Wed Sep 04 15:50:06 MSK 2024","passed","Wed Sep 04 15:50:38 MSK 2024","","test_warranty","",""
